Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.940677966101695 (0.2365608001079067),0.9715909090909091 (0.16637503623035726),0.9778325123152709 (0.14740967195127938)
Spectralis,0.6456692913385826 (0.4802043059761806),0.8888888888888888 (0.3152441624956403),0.885 (0.3198225010233083)
Topcon,0.8837209302325582 (0.320932668041728),0.9595959595959596 (0.19710413199636087),0.7662337662337663 (0.423618363320667)
