Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.24390243902439024 (0.43476935292624114),0.9745762711864406 (0.15807952162954783),0.921875 (0.2694226840434289)
TRAIN010,0.8297872340425532 (0.3778347443378207),0.90625 (0.29262590667923183),0.890625 (0.31333549728408944)
TRAIN011,0.5425531914893617 (0.5008571924688408),0.3448275862068966 (0.4780674810520526),0.24528301886792453 (0.43229885506423354)
TRAIN013,0.532608695652174 (0.5016694537269293),0.6507936507936508 (0.4805484151611325),0.8709677419354839 (0.3379723030529028)
TRAIN015,0.3125 (0.4653336792785002),1.0 (0.0),0.7272727272727273 (0.45051063346696674)
TRAIN028,0.9795918367346939 (0.14285714285714285),0.9714285714285714 (0.1690308509457033),0.8947368421052632 (0.31101174777590485)
TRAIN029,0.9375 (0.2459346884189824),0.8837209302325582 (0.3243530062242882),1.0 (0.0)
TRAIN032,nan (nan),0.6 (0.50709255283711),0.5714285714285714 (0.4999999999999999)
TRAIN041,0.8913043478260869 (0.3146963876899777),0.9795918367346939 (0.14285714285714285),0.9591836734693877 (0.19991494790174602)
TRAIN046,0.9230769230769231 (0.2773500981126145),0.5652173913043478 (0.5012062743707415),0.8 (0.4140393356054125)
TRAIN049,1.0 (0.0),0.8807339449541285 (0.32559832793164933),0.8686868686868687 (0.3394612973180146)
TRAIN050,0.9560439560439561 (0.2061330698622676),0.96875 (0.1746763035549529),0.9642857142857143 (0.18669145807013002)
TRAIN051,0.7848101265822784 (0.41357993292926887),0.9716981132075472 (0.16662173698080737),0.9375 (0.2430125883781254)
TRAIN056,1.0 (0.0),0.65625 (0.478713553878169),0.859375 (0.35038244411336755)
