Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.5733272596851162 (0.22440476135492166),0.739702120423317 (0.1448171895387283),nan (nan)
TRAIN010,0.8434685573858374 (0.06720145608440539),nan (nan),nan (nan)
TRAIN011,0.5393900514087256 (0.23134234532751405),0.7633548088190032 (0.1347507472207393),0.1344600007445975 (0.15350454045556527)
TRAIN013,0.39414914573232335 (0.24377682489020325),0.7219728297912158 (0.18042119661342773),0.35331964499853324 (0.18447879036095396)
TRAIN015,nan (nan),0.8279551351070404 (0.10241387166055317),0.5582806365120978 (0.15603865562997576)
TRAIN028,nan (nan),0.7908417327063424 (0.08543380260999009),0.5004377690228549 (0.22287387213168314)
TRAIN029,0.6875186834265204 (0.16162120330997923),0.9067376653353373 (0.0323747358967007),nan (nan)
TRAIN032,0.6502806158090124 (0.1423157686591685),0.8486497211543953 (0.1627290282914129),nan (nan)
TRAIN041,0.601199875275294 (0.19060068229646462),nan (nan),nan (nan)
TRAIN046,0.44488489296701217 (0.18971359387669365),0.4571804453929265 (0.2384058393103759),0.7744945147458244 (0.1364353388906757)
TRAIN049,nan (nan),0.49393979342360245 (0.3043204850234985),0.521062177830729 (0.18400326931117916)
TRAIN050,0.5188084115853181 (0.20480498531972893),nan (nan),0.6583661931482229 (0.15458097410454244)
TRAIN051,0.5927428819087087 (0.18634240523198475),0.7865126105872068 (0.0964286900230264),nan (nan)
TRAIN056,0.7625456642773416 (0.2308378500104201),nan (nan),nan (nan)
