Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.6204545454545455 (0.4858262320724607),0.7128712871287128 (0.4527959129425908),0.7718978102189781 (0.4199922221735042)
Spectralis,0.6324786324786325 (0.48420376514172636),0.7555555555555555 (0.4313579160526597),0.6434782608695652 (0.48106797031929305)
Topcon,0.436241610738255 (0.4964738575888449),0.5826446280991735 (0.4936327812500972),0.4756637168141593 (0.4999607543022493)
