Volume,dice_PED
TRAIN001,0.34375 (0.4768251301309627)
TRAIN008,0.515625 (0.5017194843185602)
TRAIN017,0.596519451122731 (0.3521183185523262)
TRAIN020,0.22521782077092212 (0.29703043262482304)
TRAIN022,0.1875 (0.39184602471712543)
TRAIN032,0.0 (0.0)
TRAIN040,0.5306122448979592 (0.5042337758225566)
TRAIN043,0.4827761406801185 (0.3873494520152425)
TRAIN044,0.3144528294096188 (0.29710249072351375)
TRAIN045,0.13587823944945573 (0.2691601520317604)
TRAIN049,0.6501231727888808 (0.42094383223693166)
TRAIN058,0.6184498068760149 (0.42214292107862667)
TRAIN060,0.453125 (0.49975387643106284)
TRAIN061,0.4982618784997612 (0.3832273784759862)
