Volume,dice_SRF
TRAIN004,0.7859991129953414 (0.15364828124202912)
TRAIN007,0.765625 (0.42527202966171945)
TRAIN018,0.96875 (0.1746763035549529)
TRAIN022,0.4140625 (0.4944947911001661)
TRAIN024,0.3984375 (0.4915000941197113)
TRAIN026,0.9387755102040817 (0.24222607082590245)
TRAIN034,0.7551020408163265 (0.43448303787844417)
TRAIN040,0.5998979837310557 (0.4669728631619198)
TRAIN043,0.8121538442008349 (0.30053269454437465)
TRAIN044,0.7214464457059393 (0.33702226726443774)
TRAIN052,0.5156654667807743 (0.4856456064689167)
TRAIN054,0.9166990728117526 (0.25950570243531795)
TRAIN059,0.8835525887552649 (0.28234222370389106)
TRAIN069,0.7762873426545411 (0.41618291174191213)
