Volume,dice_IRF
TRAIN004,0.5766052091984373 (0.22065111800917034)
TRAIN008,0.7485913178986974 (0.1991124889441093)
TRAIN010,0.8363218631814507 (0.14601913618542897)
TRAIN011,0.6759552350815605 (0.1770433195239546)
TRAIN017,0.46474676844461454 (0.2777728047838918)
TRAIN025,0.6616352140903473 (0.2115478490591156)
TRAIN030,0.44921750457663284 (0.26601667199171647)
TRAIN045,0.563645778517974 (0.24520883820231593)
TRAIN046,0.6442186120483611 (0.17895516397965083)
TRAIN047,0.6350656760235628 (0.15696542909379785)
TRAIN052,0.5341247011009338 (0.2738745812147642)
TRAIN058,nan (nan)
TRAIN059,0.5987725702005547 (0.160735985699133)
TRAIN061,0.6932501920832778 (0.17143873345980906)
