Volume,dice_IRF,dice_SRF,dice_PED
TRAIN008,0.35714285714285715 (0.48349377841522817),0.8771929824561403 (0.329664642610466),0.8515625 (0.3569301250570317)
TRAIN017,0.6707317073170732 (0.4728395454827755),0.7734375 (0.4202519632297096),0.8448275862068966 (0.3652311999283316)
TRAIN019,0.7608695652173914 (0.42888983235128614),0.984375 (0.12450690143095285),0.890625 (0.31333549728408966)
TRAIN021,0.8658536585365854 (0.34290678724623735),0.9351851851851852 (0.24734659734413647),0.9453125 (0.22826265262341355)
TRAIN023,0.859375 (0.34900025945887514),0.765625 (0.42527202966171956),0.8584905660377359 (0.3502020979862375)
TRAIN025,0.3684210526315789 (0.495594627783352),0.8163265306122449 (0.3912303982179758),0.75 (0.4442616583193193)
TRAIN031,0.7755102040816326 (0.42156979070537554),0.7755102040816326 (0.42156979070537554),0.8787878787878788 (0.33143398263980844)
TRAIN035,0.5714285714285714 (0.49999999999999994),1.0 (0.0),0.38461538461538464 (0.5063696835418333)
TRAIN037,nan (nan),0.8387096774193549 (0.373878250552983),0.8571428571428571 (0.35355339059327373)
TRAIN053,0.47058823529411764 (0.5066403971048988),0.43137254901960786 (0.5001960399996911),0.4117647058823529 (0.49955416843564227)
TRAIN057,0.53125 (0.5009832851188789),0.4897959183673469 (0.5050762722761054),0.6764705882352942 (0.474858079933817)
TRAIN060,0.6666666666666666 (0.4740454631399772),0.828125 (0.37875417411488516),0.484375 (0.50171948431856)
TRAIN065,0.9270833333333334 (0.2613645031536837),1.0 (0.0),0.984375 (0.12450690143095285)
TRAIN070,0.9696969696969697 (0.1722921969015792),0.890625 (0.3133354972840895),0.9921875 (0.08838834764831843)
