Volume,dice_SRF
TRAIN007,nan (nan)
TRAIN011,0.7237251509980458 (0.16007283730674018)
TRAIN015,0.6882879873365164 (0.2002446153971631)
TRAIN017,nan (nan)
TRAIN020,0.5724247916890629 (0.16761575597644535)
TRAIN026,nan (nan)
TRAIN028,0.7580136167151588 (0.14983047960088544)
TRAIN031,nan (nan)
TRAIN035,0.8864418614742368 (0.14695085086744306)
TRAIN041,nan (nan)
TRAIN054,0.7263429420334953 (0.08912197267455975)
TRAIN058,nan (nan)
TRAIN059,0.6983491958429416 (0.229185116937828)
TRAIN061,0.7057867775199144 (0.15474166165247594)
