Volume,dice_IRF,dice_SRF,dice_PED
TRAIN003,0.6413043478260869 (0.482245702255112),0.6640625 (0.47417302649467324),0.4765625 (0.5014128660143498)
TRAIN005,0.265625 (0.44340086908875304),0.6301369863013698 (0.4861083931213424),0.028985507246376812 (0.16899482177531733)
TRAIN006,0.06493506493506493 (0.24802707501094026),0.8828125 (0.32290740609869234),0.359375 (0.4817026069836069)
TRAIN009,0.5604395604395604 (0.4990834089450871),0.8203125 (0.3854355088676483),0.17543859649122806 (0.38202103530758846)
TRAIN020,0.10126582278481013 (0.30360807685198865),0.0 (0.0),0.0 (0.0)
TRAIN030,0.5 (0.5085476277156078),0.8620689655172413 (0.3509312031717982),0.7647058823529411 (0.4372373160976031)
TRAIN036,0.07692307692307693 (0.271746488194703),0.8571428571428571 (0.3535533905932738),0.8571428571428571 (0.3535533905932738)
TRAIN038,0.14285714285714285 (0.3535533905932738),1.0 (0.0),0.25 (0.4472135954999579)
TRAIN045,0.3333333333333333 (0.47946330148538413),0.40816326530612246 (0.4965869908241478),0.2222222222222222 (0.42163702135578396)
TRAIN047,0.76 (0.4358898943540673),0.6938775510204082 (0.46565731465733207),0.7755102040816326 (0.42156979070537565)
TRAIN055,0.8951612903225806 (0.3075882684362692),0.921875 (0.2694226840434289),0.6060606060606061 (0.49236596391733084)
TRAIN058,0.7734375 (0.4202519632297096),0.8046875 (0.39799880801467546),0.7446808510638298 (0.4383784934281597)
TRAIN061,0.72 (0.45202248210053037),0.8181818181818182 (0.38924947208076144),0.6086956521739131 (0.4916177168691562)
TRAIN066,0.5444444444444444 (0.5008108282005753),0.984375 (0.12450690143095285),0.8828125 (0.3229074060986924)
