Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.0 (0.0),0.07547169811320754 (0.2644629942355662),0.00641025641025641 (0.07989244953067344)
Spectralis,0.06428571428571428 (0.24614186368969665),0.324468085106383 (0.46942590269432044),0.2885572139303483 (0.4542228615560857)
Topcon,0.3522388059701492 (0.47838244445239286),0.7027027027027027 (0.4576310467433525),0.22133333333333333 (0.41569905472567736)
