Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.2026726057906459 (0.40243897294965725),0.10849056603773585 (0.3113663701481797),0.17307692307692307 (0.37871859126810337)
Spectralis,0.15714285714285714 (0.3652421798596276),0.31382978723404253 (0.4652872297482484),0.5124378109452736 (0.5010933319883474)
Topcon,0.6865671641791045 (0.4645825898060711),0.004914004914004914 (0.07001358049425546),0.11733333333333333 (0.3222470127943808)
