Volume,dice_SRF
TRAIN001,0.9732467902358621 (0.11728503956040144)
TRAIN010,0.96875 (0.1746763035549529)
TRAIN011,0.7330348147079349 (0.3840892716602139)
TRAIN013,0.7734890690771863 (0.2866077003429278)
TRAIN015,0.8828383064828813 (0.16001997760066194)
TRAIN028,0.9184658959203836 (0.17243919216348028)
TRAIN029,0.9879778137012404 (0.033253390928988345)
TRAIN032,0.8791826282228742 (0.2050492032935179)
TRAIN041,1.0 (0.0)
TRAIN046,0.6236532630056751 (0.48032576511751884)
TRAIN049,0.8981620982522145 (0.2732728194436977)
TRAIN050,0.9921875 (0.08838834764831843)
TRAIN051,0.9724244484677911 (0.07288545471588448)
TRAIN056,0.96875 (0.17536809360305045)
