Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.18084863503281667 (0.20125212051522073),0.01263473619474098 (0.05201751366332709),0.03125 (0.1746763035549529)
TRAIN010,0.06068953099020291 (0.1391892052088577),0.0 (0.0),0.0 (0.0)
TRAIN011,0.17252053454285488 (0.3047431396163318),0.17234253636524954 (0.3031532548644896),0.014649298354925122 (0.047930761059210014)
TRAIN013,0.11400233115091396 (0.2923149685843292),0.4242330431115988 (0.45357139513969935),0.049019608742128185 (0.1432449123081139)
TRAIN015,0.0 (0.0),0.15022287600004347 (0.13213935259742182),0.33237890037707984 (0.25251875210390984)
TRAIN028,0.04081632653061224 (0.199914947901746),0.6334345267743481 (0.4364456129277776),0.2794478322778429 (0.4082629855145099)
TRAIN029,0.38622681948603416 (0.41527668956767033),0.327716944169025 (0.4569802680473701),0.40816326530612246 (0.49658699082414787)
TRAIN032,0.6285096768821988 (0.13911905481345996),0.5858619038243683 (0.37059024639237476),0.0 (0.0)
TRAIN041,0.04736987425356495 (0.18154759866725906),0.24489795918367346 (0.4344830378784443),0.16326530612244897 (0.3734377890799553)
TRAIN046,0.3459065842385195 (0.26029395160708013),0.23574848381840452 (0.4118639793790876),0.4303262604742634 (0.335737018339889)
TRAIN049,0.453125 (0.4997538764310628),0.7929456016572658 (0.37255372254153324),0.0895902578777168 (0.1919113526976567)
TRAIN050,0.4169082228836487 (0.47403309058158527),0.1484375 (0.3569301250570318),0.11564557807287201 (0.18258294093206837)
TRAIN051,0.4223700822403771 (0.45035534120003395),0.41253534934367053 (0.4603714334708514),0.0234375 (0.15188286773632842)
TRAIN056,0.44644984463229775 (0.41826233942135715),0.390625 (0.491747370293402),0.0 (0.0)
