Volume,dice_IRF
TRAIN003,0.22788588609546423 (0.09223075849588498)
TRAIN005,nan (nan)
TRAIN007,0.3840272009372711 (0.21663939008053307)
TRAIN015,nan (nan)
TRAIN022,0.47400907995467334 (0.12573232634217932)
TRAIN026,0.6538723682363828 (0.17228312114590374)
TRAIN036,0.3913182311731836 (0.22529812579694608)
TRAIN043,0.43537602739201653 (0.15740377041677184)
TRAIN044,0.6552615431802613 (0.15209311071821552)
TRAIN054,0.4912497142427846 (0.14907684531331625)
TRAIN056,0.6547545647179639 (0.18996081821336186)
TRAIN057,nan (nan)
TRAIN066,0.5309475479941619 (0.1604154707084066)
TRAIN069,nan (nan)
