Volume,dice_IRF,dice_SRF,dice_PED
TRAIN003,0.8911141452845186 (0.20872983926326868),0.9609375 (0.1945049743306584),0.875 (0.3320184038158742)
TRAIN005,0.9765625 (0.1518828677363284),0.7174289126414806 (0.3600077228851899),0.7860851506411564 (0.32827318894468804)
TRAIN006,0.8304009008279536 (0.2762971271098834),0.9375 (0.24301258837812542),0.84375 (0.3645188825671882)
TRAIN009,0.7654992244788446 (0.3644633436410229),0.9765625 (0.1518828677363284),0.4637577990652062 (0.47689364125249917)
TRAIN020,0.5071097886793723 (0.4278222172162537),0.7163671504240483 (0.2366712100261731),0.19027524009106855 (0.28667041951036903)
TRAIN030,0.6904103378100055 (0.39986338413144223),0.8623085605854891 (0.29854127339261877),0.7568774233971324 (0.31797648447150256)
TRAIN036,0.6984442432924193 (0.35819138020053637),0.9795918367346939 (0.14285714285714285),0.9387755102040817 (0.24222607082590245)
TRAIN038,0.5306122448979592 (0.5042337758225566),0.8796654805845144 (0.1946976235858623),0.6891164836112638 (0.30321610583857483)
TRAIN045,0.6859333381360891 (0.39317173645034326),0.8775510204081632 (0.331200660553418),0.6097170647081672 (0.4506822265610837)
TRAIN047,0.7086850629777325 (0.34402972801613463),0.8367346938775511 (0.37343778907995523),0.8979591836734694 (0.3058388709205983)
TRAIN055,0.8087020800448954 (0.38688991819079505),0.671875 (0.4713755210973133),0.6586644194612745 (0.37898083896558493)
TRAIN058,0.953125 (0.21220162006698987),0.953125 (0.21220162006698987),0.8061271587503143 (0.32167228935931724)
TRAIN061,0.8562430136516923 (0.21941696476479988),0.705363139975816 (0.3227687654040153),0.7037168055248912 (0.3413090994200328)
TRAIN066,0.8798640647437423 (0.25342868148039),1.0 (0.0),0.953125 (0.2122016200669899)
