Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.6751720114429106 (0.187337003173532),0.7372929453849792 (0.12188283501855038),nan (nan)
TRAIN010,0.8640390283921185 (0.06000755418800293),nan (nan),nan (nan)
TRAIN011,0.7161846958539065 (0.1708816557009032),0.783992217081349 (0.112597303627583),0.5258068787780675 (0.22469746000739596)
TRAIN013,0.5721214984854063 (0.22543194246320955),0.7755039792794448 (0.12969930532530036),0.7128638223265157 (0.10970000324162363)
TRAIN015,nan (nan),0.865761689543724 (0.09891903918544717),0.8890711271337101 (0.08209859282094403)
TRAIN028,nan (nan),0.782247720020158 (0.17485412180056226),0.7914543910460039 (0.09614555696911811)
TRAIN029,0.7232679479262408 (0.20551973125818362),0.8929707904656728 (0.032528768845355466),nan (nan)
TRAIN032,0.7080191176156608 (0.1188806704746968),0.8725411558852476 (0.10302452102095802),nan (nan)
TRAIN041,0.7957056959470113 (0.09749519596719218),nan (nan),nan (nan)
TRAIN046,0.6818564542465739 (0.2004597630674468),0.48812274138132733 (0.14610872867329885),0.8200112825090234 (0.18221174959291356)
TRAIN049,nan (nan),0.6312025330568615 (0.17781338299603336),0.5512238350407831 (0.21266528258268846)
TRAIN050,0.5175574943423271 (0.2108586716430577),nan (nan),0.6466385529122569 (0.16782574588453986)
TRAIN051,0.5989148896567675 (0.19057176989803418),0.8220663585446097 (0.09977560054350214),nan (nan)
TRAIN056,0.7891767792127751 (0.18630861511376567),nan (nan),nan (nan)
