Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.6177353005041368 (0.4366153854133089),0.6986135346931406 (0.39742020769994874),0.40578368954884353 (0.4543519940760111)
Spectralis,0.4713157273657924 (0.4301049879972069),0.723775619815807 (0.4180920767381084),0.6302690109428094 (0.4230314606751049)
Topcon,0.7517761512208381 (0.38910364725858065),0.8780146816279739 (0.2825909974379303),0.6452445152681321 (0.41032307839415266)
