Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.49907262087126686 (0.276185662188889),0.709360613111864 (0.1858501152518719),0.6135917456820608 (0.2865645321588442)
Spectralis,0.6044812996816986 (0.249443000628651),0.8656351875203351 (0.1468969536352522),0.5805042954519964 (0.3248231898348606)
Topcon,0.7075773799693899 (0.20217480009429004),0.7124588660997887 (0.12333777022676141),0.5748300868176645 (0.24151789871108545)
