Volume,dice_SRF
TRAIN001,0.4406779661016949 (0.4985855700092703)
TRAIN004,0.1111111111111111 (0.33333333333333337)
TRAIN009,0.7734375 (0.4202519632297096)
TRAIN019,0.890625 (0.31333549728408966)
TRAIN024,0.2890625 (0.45510825483839257)
TRAIN025,0.7755102040816326 (0.4215697907053755)
TRAIN036,0.8979591836734694 (0.30583887092059825)
TRAIN038,1.0 (0.0)
TRAIN043,0.875 (0.3378319623460881)
TRAIN045,0.5918367346938775 (0.49658699082414787)
TRAIN052,0.26956521739130435 (0.4456758937707194)
TRAIN053,0.6470588235294118 (0.48263979992390627)
TRAIN065,0.984375 (0.12450690143095285)
TRAIN069,0.9047619047619048 (0.29471535904520285)
