vendors,dice_IRF,dice_SRF,dice_PED
Cirrus,0.57 (0.16),0.78 (0.05),0.69 (0.15)
Spectralis,0.63 (0.15),0.84 (0.04),0.79 (0.08)
Topcon,0.70 (0.12),0.83 (0.09),0.76 (0.07)
