Volume,dice_IRF,dice_SRF,dice_PED
TRAIN003,0.6300385783736905 (0.20162540907403584),nan (nan),nan (nan)
TRAIN005,nan (nan),0.7131351987069303 (0.18031836571676943),0.7845889274346627 (0.17707955560530864)
TRAIN006,0.6592015242751907 (0.22396602178283231),nan (nan),nan (nan)
TRAIN009,0.5156230797638764 (0.1842248810042085),nan (nan),0.5252510458230972 (0.1708896768958967)
TRAIN020,0.41547192853628373 (0.19844997423140853),0.7351100483331187 (0.09802661076328772),0.3899602848840387 (0.279828676196639)
TRAIN030,0.5189974959939718 (0.3355265978051834),0.9011429488658905 (0.14857509114767936),0.6283860560506582 (0.32196126808528924)
TRAIN036,0.6178901049753894 (0.21183390171941444),nan (nan),nan (nan)
TRAIN038,nan (nan),0.8328582063317299 (0.22142746112481085),0.7090174221631252 (0.1841001062947235)
TRAIN045,0.5899712655105089 (0.26625250182253385),nan (nan),0.3613236110944014 (0.24785938278995154)
TRAIN047,0.6058639747401079 (0.18689798610635402),nan (nan),nan (nan)
TRAIN055,0.3689725399017334 (0.25055769647002013),nan (nan),0.6552096322299011 (0.2417724882805226)
TRAIN058,nan (nan),nan (nan),0.48974299433586355 (0.19960182292567596)
TRAIN061,0.6272443483741779 (0.1595632036079304),0.6951432077035512 (0.14633459595192597),0.6140492750426471 (0.15810579250411005)
TRAIN066,0.7600900828838348 (0.17935818912352042),nan (nan),nan (nan)
