Volume,dice_IRF,dice_SRF,dice_PED
TRAIN003,0.6776632246328518 (0.39935568280865597),0.9921875 (0.08838834764831843),0.96875 (0.1746763035549529)
TRAIN005,0.9765625 (0.1518828677363284),0.7020429719705135 (0.36543013301430527),0.8072468317113817 (0.3296082463716607)
TRAIN006,0.689439991110703 (0.3873428496066959),0.9453125 (0.22826265262341355),0.9609375 (0.19450497433065844)
TRAIN009,0.8239098992198706 (0.29130351851973363),0.984375 (0.12450690143095285),0.9497498397249728 (0.16133182695845866)
TRAIN020,0.6796222983684856 (0.3856794673275584),0.77778300200589 (0.2608298189532971),0.36691273422911763 (0.3903092212075334)
TRAIN030,0.816764840057918 (0.29231445777159326),0.9292229036895596 (0.19915594077735607),0.8181350875873955 (0.24336534307148272)
TRAIN036,0.7768858801953646 (0.30471466428059535),1.0 (0.0),0.9591836734693877 (0.19991494790174602)
TRAIN038,0.8163265306122449 (0.39123039821797584),0.9004749132662403 (0.12378183118677163),0.7770783968117773 (0.27961711683303303)
TRAIN045,0.792275819243217 (0.32299446967221285),0.8163265306122449 (0.39123039821797584),0.6729316933422672 (0.41159355132892256)
TRAIN047,0.8398903930673793 (0.2118780271014897),0.9387755102040817 (0.24222607082590245),0.9387755102040817 (0.2422260708259025)
TRAIN055,0.8198088561184704 (0.3786433342604916),1.0 (0.0),0.8517420953139663 (0.23368130937163914)
TRAIN058,0.8515625 (0.35693012505703176),0.921875 (0.2694226840434289),0.8672599027631804 (0.263472001092012)
TRAIN061,0.754996664589271 (0.33237000387021126),0.789588525891304 (0.26589286254134326),0.745293264859356 (0.3369687863000725)
TRAIN066,0.7476365487091243 (0.3741481118353007),1.0 (0.0),0.984375 (0.12450690143095285)
