Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.07317073170731707 (0.2636516548818748),0.06779661016949153 (0.2524686173041188),0.28125 (0.45137584946507153)
TRAIN010,0.0425531914893617 (0.20292981026189985),0.046875 (0.2122016200669899),0.03125 (0.17467630355495292)
TRAIN011,0.6914893617021277 (0.4643551603453688),0.10344827586206896 (0.3063089623779221),0.1509433962264151 (0.3596943895981085)
TRAIN013,0.20652173913043478 (0.40702737651969134),0.36507936507936506 (0.48531955889367545),0.12903225806451613 (0.33797230305290277)
TRAIN015,0.0 (0.0),0.0 (0.0),0.38636363636363635 (0.4925448434741562)
TRAIN028,0.14285714285714285 (0.3535533905932738),0.6571428571428571 (0.48159399197793523),0.4473684210526316 (0.5038966228735667)
TRAIN029,0.21875 (0.4200134406451544),0.27906976744186046 (0.4538502687508103),0.6530612244897959 (0.4809288065886702)
TRAIN032,nan (nan),0.0 (0.0),0.2857142857142857 (0.45643546458763845)
TRAIN041,0.13043478260869565 (0.3405026123034995),0.32653061224489793 (0.4738035414793428),0.6122448979591837 (0.4922874554317936)
TRAIN046,0.15384615384615385 (0.3755338080994054),0.17391304347826086 (0.38322304651683264),0.625 (0.49999999999999994)
TRAIN049,0.6328125 (0.48393228116742293),0.01834862385321101 (0.1348285177101028),0.2727272727272727 (0.4476282581717945)
TRAIN050,0.7692307692307693 (0.4236592728681618),0.0 (0.0),0.0 (0.0)
TRAIN051,0.5443037974683544 (0.5012156594651515),0.0 (0.0),0.1328125 (0.3407054688956916)
TRAIN056,0.972972972972973 (0.1643989873053573),0.0 (0.0),0.0 (0.0)
