Volume,dice_IRF,dice_SRF,dice_PED
TRAIN003,0.6708119072847896 (0.16111959524437675),nan (nan),nan (nan)
TRAIN005,nan (nan),0.6793137127702886 (0.19588191555741974),0.8467158336760634 (0.12442200792999794)
TRAIN006,0.6072497557045198 (0.28099141058503146),nan (nan),nan (nan)
TRAIN009,0.4135830062189819 (0.2644230249365426),nan (nan),0.4173193995707801 (0.23005821567391427)
TRAIN020,0.44969138468862796 (0.23342013066638864),0.6811703250839792 (0.12519699572395074),0.4659189776386739 (0.24362602277197234)
TRAIN030,0.4947273345958245 (0.34124093573601405),0.8791551709175109 (0.08024011170676204),0.628570444881916 (0.3249911212233342)
TRAIN036,0.620022278117097 (0.20556818196345272),nan (nan),nan (nan)
TRAIN038,nan (nan),0.8250487163662911 (0.09416729895415848),0.602759213610129 (0.20766279432497292)
TRAIN045,0.573852502005665 (0.3117681114346551),nan (nan),0.2992650520844528 (0.2584850974460803)
TRAIN047,0.6345743450025717 (0.15097484413535667),nan (nan),nan (nan)
TRAIN055,0.3755502700805664 (0.26543074155862695),nan (nan),0.6360363248855837 (0.2443687550523475)
TRAIN058,nan (nan),nan (nan),0.4277421393815209 (0.14860695671574078)
TRAIN061,0.6690194505741293 (0.17412778271181123),0.5259165116777159 (0.24038636422777088),0.571578099818553 (0.1582306418309468)
TRAIN066,0.753927430039958 (0.18401228852622575),nan (nan),nan (nan)
