Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.1754906487003609 (0.18946332970664043),0.01070308808266418 (0.04263620153924587),0.0 (0.0)
TRAIN010,0.09546427929308265 (0.20076353890570664),0.0 (0.0),0.0 (0.0)
TRAIN011,0.24632706950069405 (0.3707607381383843),0.06782520931892577 (0.12976393214588977),0.007525555061874911 (0.02127336938134618)
TRAIN013,0.17224608840115252 (0.35317317126864956),0.23891116685263114 (0.3225711973915812),0.05602809378183338 (0.08404686146950315)
TRAIN015,0.0 (0.0),0.12937028451563037 (0.11859070331801594),0.2975118444301188 (0.22550405243290889)
TRAIN028,0.02040816326530612 (0.14285714285714282),0.5645889688511284 (0.44858629794517313),0.16643746288455263 (0.30145006981656675)
TRAIN029,0.28887755560631656 (0.37021549292928285),0.26303726799634036 (0.42405928390129555),0.1836734693877551 (0.3912303982179759)
TRAIN032,0.6057356118547673 (0.1361127351968912),0.4881787753987069 (0.3418472721040555),0.0 (0.0)
TRAIN041,0.022502112145326575 (0.09743758137119374),0.1836734693877551 (0.39123039821797584),0.061224489795918366 (0.24222607082590245)
TRAIN046,0.3391582219272244 (0.2585677835407262),0.15509972706133004 (0.3455033360924182),0.4016100386423724 (0.31591477297116205)
TRAIN049,0.4765625 (0.5014128660143499),0.7107700639317045 (0.4279315072060968),0.07556189681054093 (0.15986102142968972)
TRAIN050,0.07358356469194405 (0.20634845384715694),0.3671875 (0.4839322811674229),0.10313594826584449 (0.16719483587474648)
TRAIN051,0.19840129541989882 (0.34734044900768485),0.43513990996871144 (0.4600581519787523),0.015625 (0.12450690143095285)
TRAIN056,0.31594312080414966 (0.39172934747929444),0.09375 (0.29378482569650155),0.0 (0.0)
