Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.6146815473149563 (0.1935022795599243),0.6359239667654037 (0.21100300889136206),nan (nan)
TRAIN010,0.7835656930418575 (0.1964532338112211),nan (nan),nan (nan)
TRAIN011,0.5642227876712295 (0.21417295659967198),0.7475674363171182 (0.13058979751597483),0.3517577001316981 (0.21058226821029247)
TRAIN013,0.4115289509710338 (0.2524995759454213),0.7472518196472755 (0.13714868419039003),0.29025240730720037 (0.17270206971969077)
TRAIN015,nan (nan),0.8395677743852139 (0.11175016238492284),0.7625404237991288 (0.10368992448336747)
TRAIN028,nan (nan),0.7380022832325527 (0.1829953265080766),0.4663315848870711 (0.33978389504381534)
TRAIN029,0.6585098592674031 (0.2272818622175366),0.8799852331479391 (0.07158331142205335),nan (nan)
TRAIN032,0.6592956325229333 (0.1328480444614844),0.8347701377728406 (0.1923995950587964),nan (nan)
TRAIN041,0.7605888247489929 (0.09311101712053255),nan (nan),nan (nan)
TRAIN046,0.6468736247883903 (0.237666540067526),0.6908549964427948 (0.17438793978093103),0.7750562026220209 (0.17643921507477536)
TRAIN049,nan (nan),0.525143894317903 (0.2720463127810059),0.46788100487199324 (0.20031197643017343)
TRAIN050,0.4576456434017903 (0.2610483702850682),nan (nan),0.6365605674006722 (0.22134200149553845)
TRAIN051,0.5778165707478717 (0.2042178326747886),0.8278463049368425 (0.09871049665561951),nan (nan)
TRAIN056,0.6573229763242934 (0.3626607278822349),nan (nan),nan (nan)
