Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.25819313831777235 (0.1772236510700619),0.1369995274581015 (0.08016710078505646),nan (nan)
TRAIN010,0.35939493380925236 (0.23955642421373555),nan (nan),nan (nan)
TRAIN011,0.3391136734143776 (0.19958988639032435),0.21174699494689023 (0.14908360798044823),0.043785047632726753 (0.03276679771927859)
TRAIN013,0.0846527587596534 (0.10426477045561126),0.2704712208790275 (0.20787714539098862),0.10866054551628292 (0.08941290860699183)
TRAIN015,nan (nan),0.16559396418000688 (0.10946401109282834),0.45335138198875247 (0.07942625637514948)
TRAIN028,nan (nan),0.7617756766932351 (0.10886404472834822),0.5595850619402799 (0.16575376524922292)
TRAIN029,0.6561764838064418 (0.14753592317738287),0.8148043553034464 (0.08771094513614597),nan (nan)
TRAIN032,0.6057356118547673 (0.1361127351968912),0.6741399998393129 (0.1590754479908023),nan (nan)
TRAIN041,0.3675344983736674 (0.19401292954485774),nan (nan),nan (nan)
TRAIN046,0.4338542465120554 (0.1747876060196887),0.5332955420017242 (0.16644907341475398),0.5963300573780681 (0.17308133053141314)
TRAIN049,nan (nan),0.47255622017148297 (0.30540383901906704),0.3335145790258358 (0.16373497069546922)
TRAIN050,0.11942422379915779 (0.12615926805839825),nan (nan),0.3000318495006385 (0.14870530771209495)
TRAIN051,0.1305176696683071 (0.10465513276394155),0.5771776579997756 (0.1936404019589136),nan (nan)
TRAIN056,0.30445776783205847 (0.24441450670988385),nan (nan),nan (nan)
