Volume,dice_IRF,dice_SRF,dice_PED
TRAIN003,0.45988427648424274 (0.30273589091099035),nan (nan),nan (nan)
TRAIN005,nan (nan),0.4085380614735186 (0.27674985324978557),0.6965677632113635 (0.22169042257172114)
TRAIN006,0.540657699692483 (0.3455967284275393),nan (nan),nan (nan)
TRAIN009,0.04293719351895758 (0.14910303386240964),nan (nan),0.02908565170530762 (0.05852780368177595)
TRAIN020,0.006761175949020758 (0.013839084951974334),0.5113828839445166 (0.20679537428215988),0.36828183939909204 (0.283823934844116)
TRAIN030,0.5144337376481608 (0.32699930408223843),0.8971049711108208 (0.16815428267332677),0.726962081156671 (0.2388728394271619)
TRAIN036,0.5725528176711954 (0.2543473687820084),nan (nan),nan (nan)
TRAIN038,nan (nan),0.876372617483139 (0.16023996897206316),0.6938095607540824 (0.20452227975493725)
TRAIN045,0.5342255336673636 (0.28183497934063767),nan (nan),0.2831781462121468 (0.17845790074396709)
TRAIN047,0.5969987185671926 (0.2448798069060667),nan (nan),nan (nan)
TRAIN055,0.0 (0.0),nan (nan),0.7230226693134154 (0.18779294740940222)
TRAIN058,nan (nan),nan (nan),0.5859571964863468 (0.19650907052845276)
TRAIN061,0.47110085442381083 (0.23264340219320848),0.3344280620501058 (0.29849207657393106),0.512103940597025 (0.21387287428954094)
TRAIN066,0.6784498589603525 (0.20162891557557483),nan (nan),nan (nan)
