Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.37652265330543744 (0.4231225904663384),0.38686484199715776 (0.4773019028657517),0.3975940947420895 (0.45458106573441837)
Spectralis,0.4778498322988043 (0.41261597460435917),0.6235483307011274 (0.4505453012117188),0.3975215613537905 (0.3943103365996374)
Topcon,0.4827107152923418 (0.43694716463148764),0.7293630636238959 (0.39070442907837094),0.44823757105623374 (0.4242341233134668)
