Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.6013363028953229 (0.49016942729170637),0.8325471698113207 (0.3738207591141638),0.6474358974358975 (0.47827966847672704)
Spectralis,0.9357142857142857 (0.24614186368969662),0.8404255319148937 (0.3671888144277982),0.85 (0.3579674615346875)
Topcon,0.9492537313432836 (0.2198074377248167),0.9361179361179361 (0.244843703735228),0.8826666666666667 (0.32224701279438095)
