Volume,dice_IRF
TRAIN003,0.06409290546434931 (0.11368792259312459)
TRAIN005,0.0 (0.0)
TRAIN007,0.2250159380491823 (0.25181018723304666)
TRAIN015,0.0 (0.0)
TRAIN022,0.3592100059031509 (0.23132552401733447)
TRAIN026,0.2825809881395223 (0.39645135187657454)
TRAIN036,0.1836799860608821 (0.2493956824821882)
TRAIN043,0.15993405087869994 (0.23182995300115183)
TRAIN044,0.3744351675315779 (0.3469205230340409)
TRAIN054,0.2630272589158267 (0.3564613466226874)
TRAIN056,0.354349581990391 (0.3878540149179817)
TRAIN057,0.0 (0.0)
TRAIN066,0.19668755331076682 (0.3036875690298056)
TRAIN069,0.0 (0.0)
