Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.8243559718969555 (0.3809633757250559),0.6717850287907869 (0.4700148113935114),0.722007722007722 (0.4484426349551048)
Spectralis,0.8527131782945736 (0.3557732598202129),0.8622754491017964 (0.3456470737245511),0.8229166666666666 (0.3827372252539769)
Topcon,0.7317073170731707 (0.44367237346209526),0.7326315789473684 (0.4430528216794637),0.6984478935698448 (0.4594414810409577)
