Volume,dice_IRF
TRAIN018,0.6 (0.4918693768379647)
TRAIN019,0.6413043478260869 (0.4822457022551119)
TRAIN020,0.35443037974683544 (0.48139686393214065)
TRAIN021,0.7073170731707317 (0.4577940902716245)
TRAIN023,0.65625 (0.47682513013096256)
TRAIN029,0.9375 (0.2459346884189824)
TRAIN034,0.8333333333333334 (0.3834824944236852)
TRAIN035,0.4489795918367347 (0.5025445456953673)
TRAIN037,nan (nan)
TRAIN040,0.9090909090909091 (0.29424494316824984)
TRAIN050,0.25274725274725274 (0.4369949553079429)
TRAIN055,0.25 (0.4347693529262411)
TRAIN060,0.3111111111111111 (0.4655417152513844)
TRAIN070,0.2828282828282828 (0.45266566570285066)
