Volume,dice_SRF
TRAIN003,0.7421875 (0.43914902946350703)
TRAIN005,0.6557878650492057 (0.3919480298595998)
TRAIN006,0.4140625 (0.49449479110016603)
TRAIN009,0.71875 (0.45137584946507175)
TRAIN020,0.4631179914576933 (0.24120986797269076)
TRAIN030,0.8244851122097093 (0.301388582721347)
TRAIN036,0.8979591836734694 (0.30583887092059836)
TRAIN038,0.860726677033366 (0.20874801899396248)
TRAIN045,0.4489795918367347 (0.5025445456953674)
TRAIN047,0.673469387755102 (0.4738035414793429)
TRAIN055,0.734375 (0.44340086908875315)
TRAIN058,0.8203125 (0.3854355088676482)
TRAIN061,0.7794230051804334 (0.2647446707079608)
TRAIN066,0.9453125 (0.22826265262341355)
