Volume,dice_SRF
TRAIN001,0.5588127642869949 (0.2152476462417909)
TRAIN010,nan (nan)
TRAIN011,0.7546441467796884 (0.11728087462222671)
TRAIN013,0.7521551040502695 (0.1338240221194238)
TRAIN015,0.878667161166668 (0.0936358692098335)
TRAIN028,0.8563246045793805 (0.08282395330918561)
TRAIN029,0.9009658892949423 (0.021947797181059218)
TRAIN032,0.8742787688970566 (0.1069389586789326)
TRAIN041,nan (nan)
TRAIN046,0.5540298322836558 (0.2031917811420974)
TRAIN049,0.4635607780594575 (0.23994664378058658)
TRAIN050,nan (nan)
TRAIN051,0.785862304947593 (0.12612805707163566)
TRAIN056,nan (nan)
