Volume,dice_PED
TRAIN005,0.2993085337802768 (0.3398433303719577)
TRAIN009,0.12968043950968422 (0.30724244682845164)
TRAIN011,0.062478570704115555 (0.17891872552090293)
TRAIN018,0.46875 (0.500983285118879)
TRAIN019,0.453125 (0.4997538764310628)
TRAIN028,0.6654888233359979 (0.4263641490806778)
TRAIN030,0.6860889485295938 (0.345441327003259)
TRAIN035,0.42939218293343273 (0.3190655394543383)
TRAIN037,0.22448979591836735 (0.4215697907053756)
TRAIN047,0.46938775510204084 (0.5042337758225565)
TRAIN051,0.3984375 (0.4915000941197113)
TRAIN056,0.421875 (0.4977628523130841)
TRAIN057,0.503813712624833 (0.2852993704295286)
TRAIN059,0.40625 (0.49306210178888454)
