Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.5478841870824054 (0.4982569841675228),0.8136792452830188 (0.38982526356905967),0.7542735042735043 (0.43097780611153635)
Spectralis,0.9214285714285714 (0.27003482703328124),0.8723404255319149 (0.33460144871179476),0.835 (0.37211199481260626)
Topcon,0.9432835820895522 (0.2316459464141866),0.9508599508599509 (0.216426411669135),0.9093333333333333 (0.28751811537130434)
