Volume,dice_IRF,dice_SRF,dice_PED
TRAIN003,0.6956521739130435 (0.4626519455729922),0.4296875 (0.4969765873222366),0.25 (0.4347141336013311)
TRAIN005,0.2421875 (0.43009051876402554),0.4931506849315068 (0.5034130089044645),0.057971014492753624 (0.2354006578914349)
TRAIN006,0.07792207792207792 (0.26980664452011627),0.28125 (0.4513758494650717),0.0625 (0.24301258837812542)
TRAIN009,0.6593406593406593 (0.476556635780289),0.828125 (0.37875417411488516),0.23684210526315788 (0.4270216172212945)
TRAIN020,0.12658227848101267 (0.3346290946166707),0.0 (0.0),0.0 (0.0)
TRAIN030,0.4 (0.4982728791224398),0.7586206896551724 (0.4354941703556927),0.23529411764705882 (0.4372373160976031)
TRAIN036,0.23076923076923078 (0.42966892442365967),0.42857142857142855 (0.5),0.4897959183673469 (0.5050762722761054)
TRAIN038,0.24489795918367346 (0.4344830378784443),0.8888888888888888 (0.3333333333333333),0.125 (0.3415650255319866)
TRAIN045,0.3333333333333333 (0.47946330148538413),0.24489795918367346 (0.4344830378784442),0.16666666666666666 (0.3779644730092273)
TRAIN047,0.56 (0.5066228051190221),0.5510204081632653 (0.5025445456953674),0.4897959183673469 (0.5050762722761054)
TRAIN055,0.13709677419354838 (0.34534482400809824),0.5703125 (0.4969765873222367),0.13636363636363635 (0.34580401903450975)
TRAIN058,0.140625 (0.34900025945887514),0.7890625 (0.4095771537596913),0.2765957446808511 (0.44971329741755545)
TRAIN061,0.49333333333333335 (0.5033222956847166),0.6909090909090909 (0.4663779770834141),0.34782608695652173 (0.4797697657554009)
TRAIN066,0.6777777777777778 (0.4699456764632129),0.96875 (0.1746763035549529),0.8046875 (0.3979988080146753)
