Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.6013031724369389 (0.2207641954811844),0.752944940328598 (0.1421516226315979),nan (nan)
TRAIN010,0.852397100013845 (0.06931614693262224),nan (nan),nan (nan)
TRAIN011,0.6473364580203506 (0.2251440107746504),0.7309807004725061 (0.2356885863896582),0.2015103485265916 (0.16815273883306175)
TRAIN013,0.45214558620419765 (0.22284417079568553),0.7371187691505139 (0.15706733257741623),0.23402160932451035 (0.19250339275430356)
TRAIN015,nan (nan),0.8632781574130058 (0.09659989648067677),0.6825275080544608 (0.1265960045261849)
TRAIN028,nan (nan),0.8117242327758244 (0.09687880334544262),0.5871997760100798 (0.293621613762178)
TRAIN029,0.7702641977983362 (0.0979998369315529),0.899651954571406 (0.036592543680399894),nan (nan)
TRAIN032,0.681827073498648 (0.14019347288496897),0.8635467781740076 (0.17167111145089808),nan (nan)
TRAIN041,0.702252984046936 (0.09846855717135715),nan (nan),nan (nan)
TRAIN046,0.6354113850328658 (0.21429373034530513),0.62352388103803 (0.18248480877079976),0.8300883761223625 (0.1406805880964552)
TRAIN049,nan (nan),0.5371872798392647 (0.28329565124693656),0.5409898357305291 (0.25725104407619787)
TRAIN050,0.5379978470705651 (0.24380874245403178),nan (nan),0.5126819404011423 (0.2692992162477944)
TRAIN051,0.62340618457113 (0.1855407953587172),0.8342821002006531 (0.09218636264236958),nan (nan)
TRAIN056,0.6961478988329569 (0.3092567007805816),nan (nan),nan (nan)
