Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.5816022698323764 (0.2511961673400344),0.7797144250599323 (0.14488426010194808),0.42542319798430556 (0.22184981531875508)
Spectralis,0.5844859387193407 (0.19158957870177218),0.8199621421987551 (0.16730695659256709),0.7075028657913208 (0.19858779470961824)
Topcon,0.6091065962625816 (0.2218565188838358),0.6509300855601706 (0.26148404937282943),0.6038207624056567 (0.17892534581926475)
