Volume,dice_IRF,dice_SRF,dice_PED
TRAIN003,0.26215495276119327 (0.38704061255031025),0.484375 (0.5017194843185601),0.734375 (0.4434008690887529)
TRAIN005,0.4375 (0.4980276057238114),0.23804369828940253 (0.3327584001788286),0.46951170335523784 (0.41867073986708797)
TRAIN006,0.4419808022212237 (0.4425701894148563),0.296875 (0.4586762019853621),0.734375 (0.4434008690887531)
TRAIN009,0.5280365325015737 (0.4954856428565585),0.0 (0.0),0.14380624315526802 (0.3483290263769873)
TRAIN020,0.1822757626679845 (0.38432580161128826),0.4634407385747181 (0.2472183121732905),0.18743800660740817 (0.29087309380088217)
TRAIN030,0.40355593908806237 (0.43236030362317995),0.8559612126982942 (0.3139923596512204),0.8012813591227239 (0.2589840723289368)
TRAIN036,0.32997377155994884 (0.3715892055784432),0.8163265306122449 (0.3912303982179758),0.8163265306122449 (0.3912303982179759)
TRAIN038,0.4897959183673469 (0.5050762722761054),0.899079687741338 (0.15232132189719635),0.7121574592833616 (0.3018195458754359)
TRAIN045,0.30918949264652873 (0.3864364361345109),0.5510204081632653 (0.5025445456953673),0.40165950817873286 (0.44533337735726497)
TRAIN047,0.5168973315431147 (0.404172001311935),0.5510204081632653 (0.5025445456953674),0.6326530612244898 (0.48707791774949477)
TRAIN055,0.078125 (0.26942268404342895),0.859375 (0.3490002594588752),0.5689641054486856 (0.40785871045415445)
TRAIN058,0.1796875 (0.3854355088676483),0.8984375 (0.3032590366453844),0.8040823803166859 (0.3222689687190517)
TRAIN061,0.21069019753485918 (0.2928953527918485),0.565728504137951 (0.41253258566251805),0.5797979101189412 (0.3877716529052472)
TRAIN066,0.34985230187885463 (0.4193040456914022),0.9609375 (0.19450497433065836),0.734375 (0.443400869088753)
