Volume,dice_IRF
TRAIN018,0.7603661815325419 (0.1881727345620071)
TRAIN019,0.6965490513377719 (0.230912146551324)
TRAIN020,0.22658482939004898 (0.15562011582737376)
TRAIN021,0.6666245862193729 (0.12725516673697185)
TRAIN023,nan (nan)
TRAIN029,0.7355729201260734 (0.08362460277671663)
TRAIN034,0.6092490313514587 (0.2890971262596823)
TRAIN035,nan (nan)
TRAIN037,0.6519221575284491 (0.13987349531787427)
TRAIN040,0.6867694225576189 (0.12600753607347562)
TRAIN050,0.5367836497119955 (0.21279623700196942)
TRAIN055,0.25781744718551636 (0.29994822662754456)
TRAIN060,0.2816454535840373 (0.18229986434156006)
TRAIN070,0.5903562667040989 (0.23441758442045352)
