Volume,dice_IRF,dice_SRF,dice_PED
TRAIN008,0.5803231382160448 (0.3982940618351755),0.8706279329489917 (0.3158841544875406),0.8515625 (0.3569301250570317)
TRAIN017,0.6836277970578521 (0.4019989862904096),0.7734375 (0.4202519632297096),0.6937979218782857 (0.31665761772690126)
TRAIN019,0.7553445885423571 (0.3799562016754752),0.984375 (0.12450690143095285),0.890625 (0.31333549728408966)
TRAIN021,0.7926403856836259 (0.30132664661099373),0.882095693028532 (0.28031630866206614),0.9453125 (0.22826265262341355)
TRAIN023,0.859375 (0.34900025945887514),0.765625 (0.42527202966171956),0.7980476198717952 (0.35592991918753536)
TRAIN025,0.560689599538336 (0.3805158332531468),0.8163265306122449 (0.3912303982179758),0.726821702962019 (0.3025136103374693)
TRAIN031,0.7755102040816326 (0.42156979070537554),0.7755102040816326 (0.42156979070537554),0.793394112465333 (0.3256263266052297)
TRAIN035,0.5714285714285714 (0.49999999999999994),0.9372450064639656 (0.04990988487634098),0.37758804044249106 (0.2974968808092404)
TRAIN037,0.6344331463380736 (0.14789847650020232),0.8538545309280863 (0.303934908618872),0.8571428571428571 (0.35355339059327373)
TRAIN053,0.5598833003896289 (0.3171528680725856),0.5569741920626257 (0.3729401978433465),0.5491178216179833 (0.2854870337950911)
TRAIN057,0.53125 (0.5009832851188789),0.6305293288314715 (0.36393172536841084),0.6424968992359936 (0.26643502208358416)
TRAIN060,0.605202638922492 (0.4200749211007791),0.828125 (0.37875417411488516),0.484375 (0.50171948431856)
TRAIN065,0.838213006965816 (0.29012453148930584),1.0 (0.0),0.984375 (0.12450690143095285)
TRAIN070,0.8934354018419981 (0.24658280047394499),0.890625 (0.3133354972840895),0.9921875 (0.08838834764831843)
