Volume,dice_IRF,dice_SRF,dice_PED
D2S1,0.3684210526315789 (0.49559462778335206),0.7333333333333333 (0.45773770821706344),0.7368421052631579 (0.45241392835886407)
D3S1,0.6842105263157895 (0.47756693294091923),0.6923076923076923 (0.48038446141526137),0.29411764705882354 (0.46966821831386213)
D4S1,0.7333333333333333 (0.45773770821706344),0.631578947368421 (0.4955946277833521),0.3684210526315789 (0.4955946277833521)
D4S2,0.8 (0.41403933560541256),0.46153846153846156 (0.5188745216627708),0.2631578947368421 (0.45241392835886407)
D5S2,0.15789473684210525 (0.3746343246326776),0.6666666666666666 (0.5163977794943222),0.0 (0.0)
D5S3,0.21052631578947367 (0.4188539082916955),1.0 (0.0),0.0 (0.0)
