Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.6613636363636364 (0.4737846983180473),0.8036303630363036 (0.39757948049159586),0.9142335766423357 (0.2802746697395339)
Spectralis,0.4700854700854701 (0.5012510138032498),0.8 (0.4014897630709236),0.8782608695652174 (0.3284152828611681)
Topcon,0.5123042505592841 (0.5004086371007512),0.731404958677686 (0.4436873645833165),0.6924778761061947 (0.46197883629634257)
