Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.44478185579848256 (0.24747177316456725),0.4680549453355764 (0.2191905522553622),0.6237092340508332 (0.27598026712798224)
Spectralis,0.5176477599122068 (0.24611845660625717),0.8197056942929825 (0.1813067273552511),0.5506802405326221 (0.2480815091729756)
Topcon,0.6135416624185286 (0.21046921179019598),0.6157995125610535 (0.19382271704540938),0.5972695534027392 (0.20743077654664033)
