Volume,dice_SRF
TRAIN001,0.4499072472099215 (0.4830218610533182)
TRAIN004,0.768407324096188 (0.2189475876239439)
TRAIN009,0.7734375 (0.4202519632297096)
TRAIN019,0.890625 (0.31333549728408966)
TRAIN024,0.2890625 (0.45510825483839257)
TRAIN025,0.7755102040816326 (0.4215697907053755)
TRAIN036,0.8979591836734694 (0.30583887092059825)
TRAIN038,0.8580431828693468 (0.1945789323699232)
TRAIN043,0.8306441300985764 (0.26024793380660044)
TRAIN045,0.5918367346938775 (0.49658699082414787)
TRAIN052,0.30448100017383695 (0.4471619928341472)
TRAIN053,0.6926120994103258 (0.36082572284669867)
TRAIN065,0.984375 (0.12450690143095285)
TRAIN069,0.894021739019081 (0.30587234954012843)
