Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.6605263203266076 (0.41407469783709866),0.7460862523992546 (0.37584337176788063),0.4951124962477479 (0.4673129070057215)
Spectralis,0.631929037864415 (0.4127976197690362),0.8421926009411714 (0.3359792567325586),0.7355230027315568 (0.3809714232508643)
Topcon,0.7023501245566877 (0.41847218811602943),0.8745028401608579 (0.28758553923507685),0.727545246549198 (0.3736296165686022)
