Volume,dice_IRF,dice_SRF,dice_PED
TRAIN003,0.7407063726568595 (0.3668206997407117),0.859375 (0.3490002594588752),0.984375 (0.12450690143095286)
TRAIN005,0.65625 (0.47682513013096256),0.5505196898593567 (0.40084393474768837),0.715983537491411 (0.375784037432588)
TRAIN006,0.5725864423438907 (0.4148718162370037),0.53125 (0.5009832851188789),0.875 (0.3320184038158743)
TRAIN009,0.7506686927590636 (0.36961243037312186),0.75 (0.43471413360133093),0.8480036408873275 (0.32806875141868225)
TRAIN020,0.2090639692178229 (0.31429808630426087),0.4028974636748899 (0.24547314969680295),0.21009251245413907 (0.300670634929279)
TRAIN030,0.6159135912716085 (0.42655076610353176),0.8434509549822126 (0.30131622568936234),0.7470192270619529 (0.2694343953424538)
TRAIN036,0.36467371029513224 (0.3815067021751387),0.8163265306122449 (0.3912303982179758),0.8571428571428571 (0.35355339059327373)
TRAIN038,0.1836734693877551 (0.3912303982179758),0.8337396910908271 (0.20291997496573735),0.6081987747124263 (0.32748816372488115)
TRAIN045,0.6098306644327787 (0.41340411816396566),0.5918367346938775 (0.49658699082414776),0.6030076872367336 (0.44425297616238235)
TRAIN047,0.6340730460930843 (0.3510140786550353),0.8163265306122449 (0.3912303982179758),0.673469387755102 (0.47380354147934284)
TRAIN055,0.8322700734715909 (0.37098386758285967),0.8828125 (0.3229074060986924),0.7950475930119865 (0.2747869516992581)
TRAIN058,0.8203125 (0.38543550886764827),0.6640625 (0.47417302649467324),0.7344765415473375 (0.37304405157785614)
TRAIN061,0.6128308656916488 (0.38901111780047765),0.6793231595074758 (0.32382637683824683),0.6546694652643055 (0.3641131831193485)
TRAIN066,0.729012013413012 (0.3813215163497432),0.9453125 (0.22826265262341355),0.96875 (0.1746763035549529)
