Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.38983270923727104 (0.4275909480969204),0.7256343997258228 (0.3826218836126869),0.3201622976863291 (0.42608999922442203)
Spectralis,0.3964685969814962 (0.41598385134321936),0.7356849667521156 (0.4113864638762073),0.6171647583799703 (0.42626786917296755)
Topcon,0.7311670996496105 (0.4012199535851259),0.8703828566358425 (0.2941475967888341),0.7005968140583718 (0.3873890551868864)
