volume,dice_class_0,dice_class_1,dice_class_2,dice_class_3,total_dice
Cirrus_TRAIN004,0.9582570791244507,0.18163202702999115,0.26936835050582886,0.3614605963230133,0.922289252281189
Cirrus_TRAIN016,0.9476381540298462,0.45868539810180664,,,0.9372809529304504
Cirrus_TRAIN018,0.9360269904136658,0.04123940318822861,,,0.9360063076019287
Cirrus_TRAIN019,0.9770038723945618,0.6087046265602112,,,0.9762279391288757
Cirrus_TRAIN024,0.9907353520393372,,,0.02944515272974968,0.9889377355575562
Spectralis_TRAIN030,0.9895212054252625,0.5708147287368774,0.7923609614372253,0.5272068977355957,0.9773383627132494
Spectralis_TRAIN036,0.994330108165741,0.6993536949157715,,,0.9912609956702407
Spectralis_TRAIN037,0.982949435710907,0.690150260925293,0.8262982964515686,,0.9711859566824776
Spectralis_TRAIN042,0.9795804023742676,0.11690947413444519,0.722848117351532,0.44374197721481323,0.9566679195481904
Spectralis_TRAIN043,0.987638533115387,0.44198063015937805,0.7567208409309387,0.46371152997016907,0.9699533423598932
Topcon_TRAIN049,0.9929380416870117,,0.5519930720329285,0.35738909244537354,0.9915428757667542
Topcon_TRAIN054,0.9877951145172119,0.16274966299533844,0.6325380802154541,,0.9814248085021973
Topcon_TRAIN056,0.9926506876945496,0.3183087110519409,,,0.9875867962837219
Topcon_TRAIN068,0.9899150729179382,0.6357579827308655,0.2659822404384613,,0.9859079718589783
Topcon_TRAIN069,0.9883148074150085,,2.7694149196122453e-09,0.4270499646663666,0.986582338809967
