Volume,dice_PED
TRAIN004,0.5630359580973163 (0.36195758302686104)
TRAIN007,0.53125 (0.5009832851188789)
TRAIN018,0.8046875 (0.39799880801467535)
TRAIN022,0.46875 (0.5009832851188789)
TRAIN024,0.20797753683291376 (0.34022076999634154)
TRAIN026,0.5510204081632653 (0.5025445456953674)
TRAIN034,0.5510204081632653 (0.5025445456953674)
TRAIN040,0.5306122448979592 (0.5042337758225565)
TRAIN043,0.7102515660986608 (0.37398726593700754)
TRAIN044,0.4482270844128667 (0.3758611047071434)
TRAIN052,0.859375 (0.3490002594588752)
TRAIN054,0.78125 (0.4150230047698429)
TRAIN059,0.7421875 (0.4391490294635069)
TRAIN069,0.3068223569425754 (0.3294817080232122)
