Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.24568681575172624 (0.22138111513575257),0.1260928896687498 (0.13105829597810872),0.16947263225014214 (0.09783630386060438)
Spectralis,0.5467198800472987 (0.19879267294476807),0.754733861276978 (0.1794128550488064),0.29051792704161594 (0.18660155640591458)
Topcon,0.19896050221163086 (0.17934750395746954),0.4153285371366797 (0.22433222586085624),0.196641334147537 (0.13162602473103746)
