Volume,dice_IRF,dice_SRF,dice_PED
TRAIN001,0.34146341463414637 (0.48009145470217307),1.0 (0.0),0.5390625 (0.5004304249705652)
TRAIN010,0.8723404255319149 (0.3354997092507591),0.9453125 (0.22826265262341358),0.9140625 (0.2813730045980521)
TRAIN011,0.8404255319148937 (0.3681745579851539),0.7011494252873564 (0.46040787096336083),0.5377358490566038 (0.5009425079052635)
TRAIN013,0.8586956521739131 (0.35024392564813467),0.7777777777777778 (0.4190790380624749),0.8387096774193549 (0.37080101097607304)
TRAIN015,0.4375 (0.49802760572381133),1.0 (0.0),0.75 (0.4380187953915665)
TRAIN028,0.8979591836734694 (0.3058388709205983),1.0 (0.0),0.9473684210526315 (0.2262942859214143)
TRAIN029,1.0 (0.0),0.9767441860465116 (0.15249857033260467),0.9795918367346939 (0.14285714285714285)
TRAIN032,nan (nan),0.8 (0.41403933560541256),0.8571428571428571 (0.3535533905932738)
TRAIN041,0.782608695652174 (0.41702882811414943),1.0 (0.0),0.9387755102040817 (0.2422260708259025)
TRAIN046,0.8461538461538461 (0.3755338080994054),0.41304347826086957 (0.49782134039886405),0.5625 (0.51234753829798)
TRAIN049,0.8125 (0.39184602471712554),0.8348623853211009 (0.37301974597445936),0.45454545454545453 (0.500463606960979)
TRAIN050,0.27472527472527475 (0.4488487512127013),0.796875 (0.4039056372217743),0.8095238095238095 (0.3950351662305606)
TRAIN051,0.35443037974683544 (0.48139686393214076),0.8867924528301887 (0.3183515492264467),0.828125 (0.37875417411488516)
TRAIN056,0.05405405405405406 (0.22924343513512566),0.859375 (0.3503824441133676),0.65625 (0.4787135538781691)
