Volume,dice_PED
TRAIN001,0.265625 (0.44340086908875287)
TRAIN010,0.4765625 (0.50141286601435)
TRAIN011,0.08041746242088266 (0.22450071763647267)
TRAIN013,0.3517341436818242 (0.33282205217850186)
TRAIN015,0.34889081376604736 (0.2777148582250063)
TRAIN028,0.7422482465602913 (0.39078903167918605)
TRAIN029,0.7959183673469388 (0.4072055089639779)
TRAIN032,0.02040816326530612 (0.14285714285714282)
TRAIN041,0.673469387755102 (0.4738035414793429)
TRAIN046,0.5446147258792605 (0.3341733601180292)
TRAIN049,0.4963422682485543 (0.44861783754152845)
TRAIN050,0.8261673226952553 (0.26162331560001)
TRAIN051,0.6015625 (0.49150009411971124)
TRAIN056,0.53125 (0.5029673851018479)
