Volume,dice_SRF
TRAIN004,0.8764960392683494 (0.06896893467434718)
TRAIN007,nan (nan)
TRAIN018,nan (nan)
TRAIN022,nan (nan)
TRAIN024,nan (nan)
TRAIN026,nan (nan)
TRAIN034,nan (nan)
TRAIN040,0.8422272801399231 (0.06355301999159922)
TRAIN043,0.8723690462112427 (0.08849181028243915)
TRAIN044,0.79741024208876 (0.23492744144860822)
TRAIN052,0.7058901924353379 (0.15880819144132016)
TRAIN054,0.7521196518625531 (0.05648435032679011)
TRAIN059,0.7340649326642354 (0.13200612840519263)
TRAIN069,0.7885266542434692 (0.025937086279907165)
