Volume,dice_IRF
TRAIN004,0.5717981763576206 (0.1970157955455609)
TRAIN007,0.5671540609995525 (0.1768079567199679)
TRAIN018,0.8130242029825846 (0.09925986813366956)
TRAIN022,0.671157487888926 (0.10937788573214983)
TRAIN024,nan (nan)
TRAIN026,0.7822691847880682 (0.08630215836444727)
TRAIN034,0.6636071796378782 (0.2415732727354499)
TRAIN040,0.6729560648953473 (0.12734822842239737)
TRAIN043,0.6575119462278154 (0.14272115555433149)
TRAIN044,0.6859230590718133 (0.1661039759451002)
TRAIN052,0.5489194480968373 (0.2729369200432237)
TRAIN054,0.6159768622172507 (0.11366792730869081)
TRAIN059,0.6090274849882373 (0.1675889603091449)
TRAIN069,nan (nan)
