slice,dice_Background,dice_IRF,dice_SRF,dice_PED,voxels_Background,voxels_IRF,voxels_SRF,voxels_PED,union_Background,union_IRF,union_SRF,union_PED,intersection_Background,intersection_IRF,intersection_SRF,intersection_PED,binary_dice
Spectralis_D4S2_019_predicted,0.9997531175613403,0.0,0.6028168797492981,1.0,380805,0,123,0,761454,47,355,0,380633,0,107,0,0.5323383212089539
Spectralis_D5S2_001_predicted,0.9960412383079529,1.0,0.7609728574752808,0.0,252591,0,1361,0,503190,0,3577,1137,250599,0,1361,0,0.577428936958313
Spectralis_D5S2_002_predicted,0.9960522651672363,1.0,0.7898209095001221,0.0,252272,0,1680,0,502568,0,4244,1092,250292,0,1676,0,0.6281859278678894
Spectralis_D5S2_003_predicted,0.9955540895462036,1.0,0.6488499641418457,0.0,252471,0,1481,0,502707,0,4565,632,250236,0,1481,0,0.5699442028999329
Spectralis_D5S2_004_predicted,0.9925633072853088,0.0,0.6715127825737,0.0,252243,0,1709,0,500762,17,5090,2035,248519,0,1709,0,0.4785774350166321
Spectralis_D5S2_005_predicted,0.993198037147522,1.0,0.7260487079620361,0.0,251849,0,2103,0,500295,0,5793,1816,248446,0,2103,0,0.5527664422988892
Spectralis_D5S2_006_predicted,0.991761326789856,1.0,0.7977293729782104,0.0,250507,0,3445,0,496924,0,8632,2348,246415,0,3443,0,0.6271402835845947
Spectralis_D5S2_007_predicted,0.9890523552894592,1.0,0.7961302995681763,0.0,249466,0,4486,0,493531,0,11267,3106,244064,0,4485,0,0.624086856842041
Spectralis_D5S2_008_predicted,0.9897438287734985,0.0,0.8398669958114624,0.0,248518,0,5434,0,491996,64,12933,2911,243475,0,5431,0,0.6828011274337769
Spectralis_D5S2_009_predicted,0.9864166975021362,1.0,0.7921267151832581,0.0,249827,0,4125,0,492958,0,10415,4531,243131,0,4125,0,0.5519871711730957
Spectralis_D5S2_010_predicted,0.9834679961204529,0.0,0.6802210211753845,0.0,250873,0,3079,0,493588,925,9050,4341,242714,0,3078,0,0.4300083816051483
Spectralis_D5S2_011_predicted,0.9864446520805359,0.0,0.7320637106895447,0.0,250888,0,3064,0,495081,621,8349,3853,244185,0,3056,0,0.47664353251457214
Spectralis_D5S2_012_predicted,0.9845622181892395,0.0,0.7557019591331482,0.0,250965,0,2987,0,494307,505,7892,5200,243338,0,2982,0,0.4387732446193695
Spectralis_D5S2_013_predicted,0.9866349101066589,0.0,0.6142662167549133,0.0,252597,0,1355,0,498537,48,4402,4917,245937,0,1352,0,0.2886730134487152
Spectralis_D5S2_014_predicted,0.9865310788154602,0.0,0.0,0.0,253952,0,0,0,501154,262,1122,5366,247202,0,0,0,0.0
Spectralis_D5S2_015_predicted,0.9839888215065002,0.0,0.0,0.0,253952,0,0,0,499900,201,735,7068,245948,0,0,0,0.0
Spectralis_D5S2_016_predicted,0.994780957698822,0.0,0.0,0.0,253952,0,0,0,505267,125,137,2375,251315,0,0,0,0.0
Spectralis_D5S2_017_predicted,0.9971210956573486,0.0,1.0,0.0,253952,0,0,0,506446,45,0,1413,252494,0,0,0,0.0
Spectralis_D5S2_018_predicted,0.9994701147079468,1.0,1.0,0.0,253952,0,0,0,507635,0,0,269,253683,0,0,0,0.0
Spectralis_D5S2_019_predicted,0.9989968538284302,0.0,1.0,0.0,253952,0,0,0,507395,96,0,413,253443,0,0,0,0.0
