Volume,dice_IRF
TRAIN003,0.6200275383889675 (0.16840781610179184)
TRAIN005,nan (nan)
TRAIN006,0.6257558155293558 (0.2602926143675599)
TRAIN009,0.42510357388370745 (0.23118508360580478)
TRAIN020,0.16805250885687312 (0.12531881245126186)
TRAIN030,0.41994926951041345 (0.26840043866437785)
TRAIN036,0.6584054957265439 (0.17920720938837764)
TRAIN038,nan (nan)
TRAIN045,0.5522105513434661 (0.2533083937589975)
TRAIN047,0.6801998987793922 (0.13195406648963348)
TRAIN055,0.012019230984151363 (0.02403846196830273)
TRAIN058,nan (nan)
TRAIN061,0.7232388335297693 (0.16600530437892294)
TRAIN066,0.7546751263894533 (0.13858628228992173)
