Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.2139471590759058 (0.35723245069972326),0.10974385026320306 (0.2576503844503339),0.0455457699172257 (0.09063488924397714)
Spectralis,0.25063505063251573 (0.31430583245322136),0.44497889833790916 (0.460575108454998),0.08074607669318817 (0.20856174909116199)
Topcon,0.12830923381677298 (0.2826058654093935),0.05809926344331221 (0.19255245666446483),0.03204200310886206 (0.08986969049896805)
