Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.5906177644681244 (0.24754520710234296),0.7733365455642343 (0.14581166027587578),0.5514546414575984 (0.2702715979722948)
Spectralis,0.6367476251863298 (0.15636671078097528),0.8303946571653349 (0.16421986485574125),0.7252083389295472 (0.21377816253524834)
Topcon,0.5604681487368272 (0.26582114391177825),0.6003286834897065 (0.2789619658819831),0.5211710190936311 (0.22323048661852068)
