slice,dice_Background,dice_IRF,dice_SRF,dice_PED,voxels_Background,voxels_IRF,voxels_SRF,voxels_PED,union_Background,union_IRF,union_SRF,union_PED,intersection_Background,intersection_IRF,intersection_SRF,intersection_PED
Cirrus_TRAIN001_000.tiff,0.9999448657035828,0.0,1.0,1.0,253952,0,0,0,507876,28,0,0,253924,0,0,0
Cirrus_TRAIN001_001.tiff,0.9993597269058228,0.0,1.0,1.0,253952,0,0,0,507579,325,0,0,253627,0,0,0
Cirrus_TRAIN001_002.tiff,0.9998877644538879,0.0,1.0,1.0,253952,0,0,0,507847,57,0,0,253895,0,0,0
Cirrus_TRAIN001_003.tiff,0.9996986985206604,0.0,1.0,1.0,253952,0,0,0,507751,153,0,0,253799,0,0,0
Cirrus_TRAIN001_004.tiff,0.9991467595100403,0.0,1.0,1.0,253952,0,0,0,507471,433,0,0,253519,0,0,0
Cirrus_TRAIN001_005.tiff,0.9991901516914368,0.0,1.0,1.0,253952,0,0,0,507493,411,0,0,253541,0,0,0
Cirrus_TRAIN001_006.tiff,0.9987205862998962,0.0,1.0,1.0,253952,0,0,0,507255,649,0,0,253303,0,0,0
Cirrus_TRAIN001_007.tiff,0.9990816712379456,0.0,1.0,1.0,253952,0,0,0,507438,466,0,0,253486,0,0,0
Cirrus_TRAIN001_008.tiff,0.9981359243392944,0.0,1.0,1.0,253952,0,0,0,506959,945,0,0,253007,0,0,0
Cirrus_TRAIN001_009.tiff,0.9979145526885986,0.0,1.0,1.0,253952,0,0,0,506847,1057,0,0,252895,0,0,0
Cirrus_TRAIN001_010.tiff,0.9983137845993042,0.0,1.0,1.0,253952,0,0,0,507049,855,0,0,253097,0,0,0
Cirrus_TRAIN001_011.tiff,0.9978235960006714,0.0,1.0,1.0,253952,0,0,0,506801,1103,0,0,252849,0,0,0
Cirrus_TRAIN001_012.tiff,0.9986889958381653,0.0,1.0,1.0,253952,0,0,0,507239,665,0,0,253287,0,0,0
Cirrus_TRAIN001_013.tiff,0.9980173707008362,0.0,1.0,1.0,253952,0,0,0,506899,1005,0,0,252947,0,0,0
Cirrus_TRAIN001_014.tiff,0.9982031583786011,0.0,1.0,1.0,253952,0,0,0,506993,911,0,0,253041,0,0,0
Cirrus_TRAIN001_015.tiff,0.9980250597000122,0.05298013240098953,1.0,1.0,253924,28,0,0,506847,1057,0,0,252923,28,0,0
Cirrus_TRAIN001_016.tiff,0.9988625645637512,0.07974481582641602,1.0,1.0,253927,25,0,0,507277,627,0,0,253350,25,0,0
Cirrus_TRAIN001_017.tiff,0.9987179636955261,0.2841409742832184,1.0,1.0,253822,130,0,0,506996,908,0,0,253173,129,0,0
Cirrus_TRAIN001_018.tiff,0.999097466468811,0.0,1.0,1.0,253952,0,0,0,507446,458,0,0,253494,0,0,0
Cirrus_TRAIN001_019.tiff,0.9989551901817322,0.1666666716337204,1.0,1.0,253899,53,0,0,507268,636,0,0,253369,53,0,0
Cirrus_TRAIN001_020.tiff,0.998807430267334,0.0,1.0,1.0,253952,0,0,0,507299,605,0,0,253347,0,0,0
Cirrus_TRAIN001_021.tiff,0.9985172152519226,0.0,1.0,1.0,253952,0,0,0,507152,752,0,0,253200,0,0,0
Cirrus_TRAIN001_022.tiff,0.9972966313362122,0.26923078298568726,1.0,1.0,253700,252,0,0,506032,1872,0,0,252332,252,0,0
Cirrus_TRAIN001_023.tiff,0.998159646987915,0.5379652380943298,1.0,1.0,253362,590,0,0,505889,2015,0,0,252479,542,0,0
Cirrus_TRAIN001_024.tiff,0.9974787831306458,0.6247787475585938,1.0,1.0,252823,1129,0,0,504514,3390,0,0,251621,1059,0,0
Cirrus_TRAIN001_025.tiff,0.9963857531547546,0.23906706273555756,1.0,1.0,253653,299,0,0,505503,2401,0,0,251838,287,0,0
Cirrus_TRAIN001_026.tiff,0.9972240924835205,0.4340460002422333,1.0,1.0,253403,549,0,0,505425,2479,0,0,252011,538,0,0
Cirrus_TRAIN001_027.tiff,0.9961204528808594,0.09834558516740799,1.0,1.0,253845,107,0,0,505728,2176,0,0,251883,107,0,0
Cirrus_TRAIN001_028.tiff,0.9963235259056091,0.336548775434494,1.0,1.0,253462,490,0,0,505105,2799,0,0,251624,471,0,0
Cirrus_TRAIN001_029.tiff,0.9951705932617188,0.20792722702026367,1.0,1.0,253632,320,0,0,504826,3078,0,0,251194,320,0,0
Cirrus_TRAIN001_030.tiff,0.9959990382194519,0.49925485253334045,1.0,1.0,252852,1100,0,0,503878,4026,0,0,250931,1005,0,0
Cirrus_TRAIN001_031.tiff,0.9944605827331543,0.34229138493537903,1.0,1.0,253215,737,0,0,503662,4242,0,0,250436,726,0,0
Cirrus_TRAIN001_032.tiff,0.9962007403373718,0.5884631872177124,1.0,1.0,252533,1419,0,0,503258,4646,0,0,250673,1367,0,0
Cirrus_TRAIN001_033.tiff,0.9930386543273926,0.3707036077976227,1.0,1.0,252906,1046,0,0,502347,5557,0,0,249425,1030,0,0
Cirrus_TRAIN001_034.tiff,0.9925165772438049,0.49819108843803406,1.0,1.0,252066,1886,0,0,500441,7463,0,0,248348,1859,0,0
Cirrus_TRAIN001_035.tiff,0.9951851963996887,0.6304348111152649,1.0,1.0,251750,2202,0,0,501372,6532,0,0,249479,2059,0,0
