Vendor,dice_IRF,dice_SRF,dice_PED
Cirrus,0.5089256085106172 (0.4484960173688314),0.6538541012443602 (0.42022385581209726),0.5984245627454584 (0.45745045371739784)
Spectralis,0.58972809826385 (0.4245093648254464),0.8059014764671423 (0.35874701672233955),0.7550312777563017 (0.35681799350997684)
Topcon,0.7772682766153594 (0.3757365443009727),0.7867583108236431 (0.3752228498465303),0.7922884820145555 (0.32011504951950037)
